#EXPORTTYPE:                 ;DATA ALL
#FILE:                       ;PMMA_DE_6mm_10Kmin_03.ngb-ds3
#FORMAT:                     ;NETZSCH5
#FTYPE:                      ;ANSI
#IDENTITY:                   ;PMMA_DE_6mm_10Kmin
#DECIMAL:                    ;POINT
#SEPARATOR:                  ;SEMICOLON
#MTYPE:                      ;DSC
#INSTRUMENT:                 ;NETZSCH STA 449F3
#PROJECT:                    ;BESKID_PMMA_DE_6mm
#DATE/TIME:                  ;06.02.2025 4:51:37 (UTC+1)
#CORR. FILE:                 ;Correction for method PMMA_10Kmin_N2
#TEMPCAL:                    ;20-02-2023 11:34
#SENSITIVITY:                ;20-02-2023 11:40
#LABORATORY:                 ;TUPO
#OPERATOR:                   ;
#REMARK:                     ;PMMA_DE_6mm_10Kmin
#SAMPLE:                     ;PMMA_DE_6mm_10Kmin
#SAMPLE MASS /mg:            ;8.6225
#MATERIAL:                   ;black PMMA
#REFERENCE:                  ;-----
#REFERENCE MASS /mg:         ;0
#TYPE OF CRUCIBLE:           ;Al2O3 85 �l, open
#SAMPLE CRUCIBLE MASS /mg:   ;140.0425
#REFERENCE CRUCIBLE MASS /mg:;132.95
#DSC RANGE /�V:              ;5000
#TG RANGE /mg:               ;35000
#TAU-R:                      ;---
#CORR. CODE:                 ;020
#EXO:                        ;-1
#RANGE:                      ;30�C....700�C/-25.0....10.0K/min
#SEGMENT:                    ;S1-4/4
#SEG. 1:                     ;30�C/00:10/30�C
#SEG. 2:                     ;30�C/10.0(K/min)/700�C
#SEG. 3:                     ;700�C/00:10/700�C
#SEG. 4:                     ;700�C/25.0(K/min)/30�C

##Temp./�C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 28.88000;  0.00000;4.705013e-03;   100.00000;50.00000;20.00000;4.94596;1
 28.88100;  0.04000;4.776572e-03;    99.99617;50.00000;20.00000;4.94596;1
 28.87900;  0.08000;4.776573e-03;   100.01171;50.00000;20.00000;4.94596;1
 28.87800;  0.12000;4.615565e-03;    99.99617;50.00000;20.00000;4.94596;1
 28.87800;  0.16000;4.669235e-03;    99.98840;50.00000;20.00000;4.94596;1
 28.87300;  0.20000;4.705016e-03;    99.99745;50.00000;20.00000;4.94595;1
 28.87200;  0.24000;4.526119e-03;    99.99745;50.00000;20.00000;4.94595;1
 28.86900;  0.28000;4.669239e-03;   100.01299;50.00000;20.00000;4.94595;1
 28.86900;  0.32000;4.758688e-03;    99.99745;50.00000;20.00000;4.94595;1
 28.87000;  0.36000;4.705018e-03;    99.99745;50.00000;20.00000;4.94595;1
 28.86800;  0.40000;4.669239e-03;   100.00522;50.00000;20.00000;4.94595;1
 28.86800;  0.44000;4.812358e-03;   100.00916;50.00000;20.00000;4.94595;1
 28.87200;  0.48000;4.848135e-03;    99.99745;50.00000;20.00000;4.94595;1
 28.87200;  0.52000;4.937584e-03;    99.99745;50.00000;20.00000;4.94595;1
 28.87200;  0.56000;4.937584e-03;    99.99733;50.00000;20.00000;4.94595;1
 28.87600;  0.60000;5.062811e-03;   100.01299;50.00000;20.00000;4.94596;1
 28.87900;  0.64000;5.152258e-03;   100.01299;50.00000;20.00000;4.94596;1
 28.88600;  0.68000;5.384822e-03;   100.01299;50.00000;20.00000;4.94596;1
 28.89000;  0.72000;5.581607e-03;   100.02470;50.00000;20.00000;4.94596;1
 28.89900;  0.76000;5.849949e-03;   100.02853;50.00000;20.00000;4.94597;1
 28.90400;  0.80000;5.975174e-03;   100.02470;50.00000;20.00000;4.94597;1
 28.90900;  0.84000;6.279297e-03;   100.02076;50.00000;20.00000;4.94597;1
 28.92000;  0.88000;6.476077e-03;   100.01566;50.00000;20.00000;4.94598;1
 28.93200;  0.92000;6.690745e-03;   100.01693;50.00000;20.00000;4.94598;1
 28.93800;  0.96000;6.959087e-03;   100.02853;50.00000;20.00000;4.94599;1
 28.95000;  1.00000;7.406320e-03;   100.02853;50.00000;20.00000;4.94599;1
 28.96300;  1.04000;7.710435e-03;   100.02992;50.00000;20.00000;4.94600;1
 28.97600;  1.08000;7.907210e-03;   100.04546;50.00000;20.00000;4.94600;1
 28.98800;  1.12000;8.229214e-03;   100.04801;50.00000;20.00000;4.94601;1
 29.00300;  1.16000;8.622772e-03;   100.06355;50.00000;20.00000;4.94602;1
 29.01900;  1.20000;8.819543e-03;   100.08176;50.00000;20.00000;4.94602;1
 29.03400;  1.24000;9.284658e-03;   100.08420;50.00000;20.00000;4.94603;1
 29.04600;  1.28000;9.606657e-03;   100.08826;50.00000;20.00000;4.94604;1
 29.06600;  1.32000;9.928649e-03;   100.08687;50.00000;20.00000;4.94605;1
 29.08500;  1.36000;1.034009e-02;   100.10368;50.00000;20.00000;4.94606;1
 29.10600;  1.40000;1.069785e-02;   100.10507;50.00000;20.00000;4.94607;1
 29.12100;  1.44000;1.093040e-02;   100.12317;50.00000;20.00000;4.94607;1
 29.14200;  1.48000;1.125239e-02;   100.12583;50.00000;20.00000;4.94608;1
 29.16300;  1.52000;1.161015e-02;   100.12583;50.00000;20.00000;4.94609;1
 29.18400;  1.56000;1.180691e-02;   100.14265;50.00000;20.00000;4.94610;1
 29.20400;  1.60000;1.232567e-02;   100.12711;50.00000;20.00000;4.94611;1
 29.22600;  1.64000;1.257609e-02;   100.12699;50.00000;20.00000;4.94612;1
 29.24600;  1.68000;1.291596e-02;   100.13233;50.00000;20.00000;4.94613;1
 29.27300;  1.72000;1.316638e-02;   100.14393;50.00000;20.00000;4.94615;1
 29.29400;  1.76000;1.343468e-02;   100.14393;50.00000;20.00000;4.94616;1
 29.31700;  1.80000;1.366721e-02;   100.13105;50.00000;20.00000;4.94617;1
 29.34300;  1.84000;1.400707e-02;   100.12061;50.00000;20.00000;4.94618;1
 29.36400;  1.88000;1.395337e-02;   100.12317;50.00000;20.00000;4.94619;1
 29.38900;  1.92000;1.425745e-02;   100.13094;50.00000;20.00000;4.94620;1
 29.41300;  1.96000;1.452575e-02;   100.13882;50.00000;20.00000;4.94621;1
 29.43900;  2.00000;1.459727e-02;   100.15564;50.00000;20.00000;4.94623;1
 29.46000;  2.04000;1.481190e-02;   100.16341;50.00000;20.00000;4.94624;1
 29.48500;  2.08000;1.486553e-02;   100.16724;50.00000;20.00000;4.94625;1
 29.50700;  2.12000;1.481184e-02;   100.15564;50.00000;20.00000;4.94626;1
