#EXPORTTYPE:                 ;DATA ALL
#FILE:                       ;PMMA_DE_6mm_20Kmin_01.ngb-ds3
#FORMAT:                     ;NETZSCH5
#FTYPE:                      ;ANSI
#IDENTITY:                   ;PMMA_DE_6mm_20Kmin
#DECIMAL:                    ;POINT
#SEPARATOR:                  ;SEMICOLON
#MTYPE:                      ;DSC
#INSTRUMENT:                 ;NETZSCH STA 449F3
#PROJECT:                    ;PMMA BESKID
#DATE/TIME:                  ;06.02.2025 13:28:44 (UTC+1)
#CORR. FILE:                 ;Correction for method PMMA_20Kmin
#TEMPCAL:                    ;06-01-2021 09:47
#SENSITIVITY:                ;06-01-2021 10:22
#LABORATORY:                 ;TUPO
#OPERATOR:                   ;
#REMARK:                     ;PMMA DE_6mm_20Kmin
#SAMPLE:                     ;PMMA_DE_6mm_20Kmin
#SAMPLE MASS /mg:            ;8.5813
#MATERIAL:                   ;
#REFERENCE:                  ;-----
#REFERENCE MASS /mg:         ;0
#TYPE OF CRUCIBLE:           ;Al2O3 85 �l, open
#SAMPLE CRUCIBLE MASS /mg:   ;135.0646
#REFERENCE CRUCIBLE MASS /mg:;132.95
#DSC RANGE /�V:              ;5000
#TG RANGE /mg:               ;35000
#TAU-R:                      ;---
#CORR. CODE:                 ;020
#EXO:                        ;-1
#RANGE:                      ;30�C....700�C/0.0....20.0K/min
#SEGMENT:                    ;S1-3/3
#SEG. 1:                     ;30�C/00:10/30�C
#SEG. 2:                     ;30�C/20.0(K/min)/700�C
#SEG. 3:                     ;700�C/00:10/700�C

##Temp./�C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 30.00300; 0.00000; 1.246537e-03;100.00000;50.00000;20.00000;5.70588;1
 30.00200; 0.04000; 1.199790e-03; 99.99615;50.00000;20.00000;5.70588;1
 30.00500; 0.08000; 1.215375e-03; 99.98438;50.00000;20.00000;5.70587;1
 30.00300; 0.12000; 1.277700e-03; 99.98042;50.00000;20.00000;5.70588;1
 30.00300; 0.16000; 1.121883e-03; 99.98427;50.00000;20.00000;5.70588;1
 30.00300; 0.20000; 1.121883e-03;100.00000;50.00000;20.00000;5.70588;1
 30.00600; 0.24000; 1.262121e-03;100.00000;50.00000;20.00000;5.70587;1
 30.00300; 0.28000; 1.199791e-03;100.00000;50.00000;20.00000;5.70588;1
 30.00500; 0.32000; 1.199793e-03;100.00000;50.00000;20.00000;5.70587;1
 30.00600; 0.36000; 1.293284e-03;100.00000;50.00000;20.00000;5.70587;1
 30.00300; 0.40000; 1.340027e-03; 99.98438;50.00000;20.00000;5.70588;1
 30.00400; 0.44000; 1.199792e-03; 99.98823;50.00000;20.00000;5.70587;1
 30.00200; 0.48000; 1.246535e-03;100.00128;50.00000;20.00000;5.70588;1
 30.00500; 0.52000; 1.355610e-03; 99.98567;50.00000;20.00000;5.70587;1
 30.00400; 0.56000; 1.340027e-03; 99.98567;50.00000;20.00000;5.70587;1
 30.00500; 0.60000; 1.215375e-03; 99.97005;50.00000;20.00000;5.70587;1
 30.00600; 0.64000; 1.293284e-03; 99.96993;50.00000;20.00000;5.70587;1
 30.00500; 0.68000; 1.371192e-03; 99.98567;50.00000;20.00000;5.70587;1
 30.00600; 0.72000; 1.371193e-03; 99.97005;50.00000;20.00000;5.70587;1
 30.00300; 0.76000; 1.324445e-03; 99.97005;50.00000;20.00000;5.70588;1
 30.00400; 0.80000; 1.277701e-03; 99.97390;50.00000;20.00000;5.70587;1
 30.00500; 0.84000; 1.277701e-03; 99.98567;50.00000;20.00000;5.70587;1
 30.00700; 0.88000; 1.277703e-03; 99.98567;50.00000;20.00000;5.70586;1
 30.00400; 0.92000; 1.153047e-03; 99.98567;50.00000;20.00000;5.70587;1
 30.00100; 0.96000; 1.215371e-03; 99.98567;50.00000;20.00000;5.70589;1
 30.00500; 1.00000; 1.215375e-03; 99.98567;50.00000;20.00000;5.70587;1
 30.00400; 1.04000; 1.246537e-03; 99.98567;50.00000;20.00000;5.70587;1
 30.00500; 1.08000; 1.199793e-03; 99.98182;50.00000;20.00000;5.70587;1
 30.00300; 1.12000; 1.215373e-03; 99.97786;50.00000;20.00000;5.70588;1
 30.00400; 1.16000; 1.355609e-03; 99.98567;50.00000;20.00000;5.70587;1
 30.00300; 1.20000; 1.293281e-03;100.00128;50.00000;20.00000;5.70588;1
 30.00100; 1.24000; 1.215371e-03; 99.99347;50.00000;20.00000;5.70589;1
 30.00500; 1.28000; 1.184211e-03;100.00128;50.00000;20.00000;5.70587;1
 30.00200; 1.32000; 1.230954e-03; 99.98963;50.00000;20.00000;5.70588;1
 30.00400; 1.36000; 1.262119e-03;100.00128;50.00000;20.00000;5.70587;1
 30.00200; 1.40000; 1.308862e-03; 99.98567;50.00000;20.00000;5.70588;1
 30.00300; 1.44000; 1.355608e-03;100.00128;50.00000;20.00000;5.70588;1
