#EXPORTTYPE:                 ;DATA ALL
#FILE:                       ;PMMA_DE_6mm_30Kmin_02.ngb-ds3
#FORMAT:                     ;NETZSCH5
#FTYPE:                      ;ANSI
#IDENTITY:                   ;PMMA_DE_600_30Kmin
#DECIMAL:                    ;POINT
#SEPARATOR:                  ;SEMICOLON
#MTYPE:                      ;DSC
#INSTRUMENT:                 ;NETZSCH STA 449F3
#PROJECT:                    ;
#DATE/TIME:                  ;12.02.2025 17:52:33 (UTC+1)
#CORR. FILE:                 ;Correction for method PMMA_30Kmin_correct
#TEMPCAL:                    ;06-01-2021 09:50
#SENSITIVITY:                ;06-01-2021 10:22
#LABORATORY:                 ;TUPO
#OPERATOR:                   ;
#REMARK:                     ;PMMA_DE_600_30Kmin powder
#SAMPLE:                     ;PMMA_DE_600_30Kmin
#SAMPLE MASS /mg:            ;8.5523
#MATERIAL:                   ;
#REFERENCE:                  ;-----
#REFERENCE MASS /mg:         ;0
#TYPE OF CRUCIBLE:           ;Al2O3 85 �l, open
#SAMPLE CRUCIBLE MASS /mg:   ;142.5108
#REFERENCE CRUCIBLE MASS /mg:;132.95
#DSC RANGE /�V:              ;5000
#TG RANGE /mg:               ;35000
#TAU-R:                      ;---
#CORR. CODE:                 ;020
#EXO:                        ;-1
#RANGE:                      ;30�C/30.0(K/min)/700�C
#SEGMENT:                    ;S2/3
#SEG. 2:                     ;30�C/30.0(K/min)/700�C

##Temp./�C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW)
 30.21600; 9.96667;-4.221915e-04;100.03005;50.00000;20.00000;5.70506
 30.21600; 9.97333;-3.909181e-04;100.03005;50.00000;20.00000;5.70506
 30.21700; 9.98000;-4.378285e-04;100.03005;50.00000;20.00000;5.70505
 30.21600; 9.98667;-4.534650e-04;100.03005;50.00000;20.00000;5.70506
 30.21400; 9.99333;-4.378276e-04;100.03005;50.00000;20.00000;5.70506
 30.21600;10.00000;-3.752813e-04;100.03005;50.00000;20.00000;5.70506
 30.21300;10.00667;-3.596439e-04;100.03005;50.00000;20.00000;5.70507
 30.21300;10.01333;-3.596439e-04;100.03005;50.00000;20.00000;5.70507
 30.21300;10.02000;-3.440072e-04;100.03005;50.00000;20.00000;5.70507
 30.21400;10.02667;-3.283707e-04;100.03005;50.00000;20.00000;5.70506
 30.20700;10.03333;-2.970959e-04;100.03005;50.00000;20.00000;5.70509
 30.21100;10.04000;-3.127334e-04;100.03005;50.00000;20.00000;5.70508
 30.20900;10.04667;-3.596429e-04;100.03005;50.00000;20.00000;5.70508
 30.20900;10.05333;-3.283696e-04;100.03005;50.00000;20.00000;5.70508
 30.21200;10.06000;-2.970969e-04;100.03005;50.00000;20.00000;5.70507
 30.21000;10.06667;-2.970965e-04;100.03005;50.00000;20.00000;5.70508
 30.21100;10.07333;-2.814601e-04;100.03005;50.00000;20.00000;5.70508
 30.21000;10.08000;-2.658232e-04;100.03005;50.00000;20.00000;5.70508
 30.21100;10.08667;-3.283701e-04;100.03005;50.00000;20.00000;5.70508
 30.21100;10.09333;-2.970967e-04;100.03005;50.00000;20.00000;5.70508
 30.21000;10.10000;-2.814599e-04;100.03005;50.00000;20.00000;5.70508
 30.21300;10.10667;-2.501871e-04;100.03005;50.00000;20.00000;5.70507
 30.21100;10.11333;-2.814601e-04;100.03005;50.00000;20.00000;5.70508
 30.21200;10.12000;-2.814602e-04;100.03005;50.00000;20.00000;5.70507
 30.21100;10.12667;-2.970967e-04;100.03005;50.00000;20.00000;5.70508
 30.21100;10.13333;-2.345500e-04;100.03788;50.00000;20.00000;5.70508
 30.21300;10.14000;-1.876403e-04;100.04829;50.00000;20.00000;5.70507
 30.21400;10.14667;-7.818351e-05;100.04829;50.00000;20.00000;5.70506
 30.21700;10.15333;-1.563673e-05;100.04829;50.00000;20.00000;5.70505
 30.21500;10.16000; 0.000000e+00;100.04315;50.00000;20.00000;5.70506
 30.21700;10.16667; 7.818367e-05;100.04046;50.00000;20.00000;5.70505
 30.22100;10.17333; 1.250942e-04;100.04572;50.00000;20.00000;5.70504
 30.22000;10.18000; 1.720044e-04;100.04057;50.00000;20.00000;5.70504
 30.22300;10.18667; 2.658255e-04;100.03005;50.00000;20.00000;5.70503
 30.22700;10.19333; 3.909210e-04;100.03274;50.00000;20.00000;5.70501
 30.22900;10.20000; 5.942013e-04;100.03531;50.00000;20.00000;5.70501
 30.23100;10.20667; 6.723865e-04;100.02607;50.00000;20.00000;5.70500
 30.23300;10.21333; 6.567505e-04;100.02876;50.00000;20.00000;5.70499
 30.23300;10.22000; 6.723874e-04;100.03134;50.00000;20.00000;5.70499
 30.24100;10.22667; 6.880280e-04;100.02222;50.00000;20.00000;5.70496
 30.24100;10.23333; 9.382198e-04;100.02876;50.00000;20.00000;5.70496
 30.24500;10.24000; 1.157141e-03;100.02876;50.00000;20.00000;5.70494
 30.24900;10.24667; 1.407337e-03;100.02093;50.00000;20.00000;5.70493
 30.25200;10.25333; 1.516800e-03;100.03660;50.00000;20.00000;5.70492
 30.25700;10.26000; 1.610628e-03;100.02479;50.00000;20.00000;5.70490
 30.26400;10.26667; 1.860831e-03;100.03391;50.00000;20.00000;5.70487
 30.27100;10.27333; 2.095399e-03;100.03391;50.00000;20.00000;5.70484
 30.27400;10.28000; 2.220503e-03;100.02350;50.00000;20.00000;5.70483
 30.28000;10.28667; 2.423798e-03;100.04443;50.00000;20.00000;5.70481
 30.28800;10.29333; 2.752199e-03;100.03005;50.00000;20.00000;5.70478
 30.29300;10.30000; 2.908583e-03;100.03788;50.00000;20.00000;5.70476
 30.30100;10.30667; 3.096251e-03;100.03660;50.00000;20.00000;5.70473
 30.31400;10.31333; 3.393395e-03;100.02479;50.00000;20.00000;5.70468
 30.31900;10.32000; 3.721801e-03;100.04315;50.00000;20.00000;5.70466
 30.32700;10.32667; 4.003303e-03;100.02479;50.00000;20.00000;5.70463
 30.33700;10.33333; 4.300452e-03;100.02479;50.00000;20.00000;5.70459
 30.34300;10.34000; 4.581955e-03;100.02093;50.00000;20.00000;5.70457
 30.35200;10.34667; 4.863470e-03;100.02093;50.00000;20.00000;5.70453
 30.36600;10.35333; 5.191921e-03;100.02748;50.00000;20.00000;5.70448
 30.37500;10.36000; 5.489082e-03;100.01824;50.00000;20.00000;5.70444
 30.38700;10.36667; 5.880091e-03;100.01964;50.00000;20.00000;5.70439
 30.40100;10.37333; 6.255475e-03;100.01169;50.00000;20.00000;5.70434
 30.40800;10.38000; 6.583919e-03;100.01695;50.00000;20.00000;5.70431
 30.42100;10.38667; 7.068783e-03;100.00783;50.00000;20.00000;5.70426
 30.43800;10.39333; 7.444202e-03;100.01310;50.00000;20.00000;5.70420
 30.45000;10.40000; 7.835242e-03;100.00526;50.00000;20.00000;5.70415
 30.46600;10.40667; 8.241951e-03;100.01438;50.00000;20.00000;5.70409
 30.48200;10.41333; 8.726866e-03;100.00783;50.00000;20.00000;5.70403
 30.49800;10.42000; 9.071035e-03;100.01567;50.00000;20.00000;5.70397
 30.51300;10.42667; 9.540323e-03;100.01181;50.00000;20.00000;5.70391
 30.53200;10.43333; 9.978368e-03;100.02093;50.00000;20.00000;5.70383
 30.54800;10.44000; 1.049460e-02;100.01438;50.00000;20.00000;5.70377
 30.56700;10.44667; 1.126112e-02;100.02222;50.00000;20.00000;5.70370
 30.58100;10.45333; 1.190249e-02;100.01567;50.00000;20.00000;5.70365
 30.60200;10.46000; 1.232496e-02;100.02222;50.00000;20.00000;5.70356
 30.62000;10.46667; 1.280999e-02;100.01438;50.00000;20.00000;5.70349
 30.64300;10.47333; 1.349840e-02;100.02093;50.00000;20.00000;5.70341
 30.66700;10.48000; 1.412428e-02;100.01169;50.00000;20.00000;5.70331
 30.68800;10.48667; 1.475015e-02;100.01567;50.00000;20.00000;5.70323
 30.71000;10.49333; 1.537605e-02;100.00526;50.00000;20.00000;5.70315
 30.73600;10.50000; 1.598637e-02;100.01310;50.00000;20.00000;5.70305
 30.76000;10.50667; 1.670618e-02;100.00655;50.00000;20.00000;5.70295
 30.78700;10.51333; 1.741041e-02;100.01579;50.00000;20.00000;5.70285
 30.81100;10.52000; 1.816156e-02;100.00655;50.00000;20.00000;5.70276
 30.83700;10.52667; 1.888147e-02;100.01695;50.00000;20.00000;5.70266
 30.86500;10.53333; 1.974223e-02;100.01052;50.00000;20.00000;5.70255
 30.89400;10.54000; 2.039966e-02;100.02222;50.00000;20.00000;5.70244
 30.92200;10.54667; 2.122920e-02;100.01567;50.00000;20.00000;5.70233
 30.95100;10.55333; 2.209006e-02;100.02748;50.00000;20.00000;5.70221
 30.98300;10.56000; 2.296665e-02;100.01695;50.00000;20.00000;5.70209
 31.01400;10.56667; 2.373375e-02;100.02350;50.00000;20.00000;5.70197
 31.04900;10.57333; 2.464176e-02;100.01310;50.00000;20.00000;5.70184
 31.08300;10.58000; 2.554979e-02;100.01836;50.00000;20.00000;5.70170
 31.11600;10.58667; 2.648914e-02;100.00386;50.00000;20.00000;5.70158
 31.15300;10.59333; 2.745989e-02;100.00912;50.00000;20.00000;5.70143
 31.18600;10.60000; 2.844627e-02; 99.99486;50.00000;20.00000;5.70131
 31.22500;10.60667; 2.937022e-02;100.00000;50.00000;20.00000;5.70115
 31.26400;10.61333; 3.037246e-02; 99.98690;50.00000;20.00000;5.70100
 31.30300;10.62000; 3.145299e-02; 99.99602;50.00000;20.00000;5.70085
 31.34900;10.62667; 3.245549e-02; 99.98562;50.00000;20.00000;5.70067
 31.38600;10.63333; 3.355175e-02; 99.99743;50.00000;20.00000;5.70053
 31.42500;10.64000; 3.464811e-02; 99.98819;50.00000;20.00000;5.70038
 31.47000;10.64667; 3.576032e-02;100.00000;50.00000;20.00000;5.70021
 31.51300;10.65333; 3.691950e-02; 99.99088;50.00000;20.00000;5.70004
 31.56000;10.66000; 3.823536e-02;100.00129;50.00000;20.00000;5.69986
 31.60500;10.66667; 3.947299e-02; 99.99088;50.00000;20.00000;5.69968
 31.65500;10.67333; 4.074214e-02;100.00000;50.00000;20.00000;5.69949
 31.70100;10.68000; 4.212084e-02; 99.98819;50.00000;20.00000;5.69931
 31.75300;10.68667; 4.342153e-02; 99.99871;50.00000;20.00000;5.69911
 31.79700;10.69333; 4.445596e-02; 99.98702;50.00000;20.00000;5.69894
 31.85400;10.70000; 4.569435e-02; 99.99871;50.00000;20.00000;5.69872
 31.90400;10.70667; 4.705786e-02; 99.98562;50.00000;20.00000;5.69853
 31.96100;10.71333; 4.845300e-02; 99.99474;50.00000;20.00000;5.69831
 32.01200;10.72000; 4.987935e-02; 99.98164;50.00000;20.00000;5.69811
 32.07000;10.72667; 5.127474e-02; 99.99088;50.00000;20.00000;5.69788
 32.12600;10.73333; 5.273279e-02; 99.98036;50.00000;20.00000;5.69767
 32.18500;10.74000; 5.420672e-02; 99.99217;50.00000;20.00000;5.69744
 32.24400;10.74667; 5.568077e-02; 99.98305;50.00000;20.00000;5.69721
 32.30400;10.75333; 5.706103e-02; 99.99474;50.00000;20.00000;5.69698
 32.36500;10.76000; 5.845709e-02; 99.98562;50.00000;20.00000;5.69674
 32.42700;10.76667; 5.997860e-02; 99.99871;50.00000;20.00000;5.69650
 32.49600;10.77333; 6.159449e-02; 99.98819;50.00000;20.00000;5.69623
 32.55900;10.78000; 6.339822e-02;100.00000;50.00000;20.00000;5.69599
 32.62400;10.78667; 6.504557e-02; 99.98831;50.00000;20.00000;5.69574
 32.69300;10.79333; 6.667758e-02; 99.99743;50.00000;20.00000;5.69547
 32.76100;10.80000; 6.830969e-02; 99.98433;50.00000;20.00000;5.69521
 32.83300;10.80667; 6.978550e-02; 99.99602;50.00000;20.00000;5.69493
 32.90400;10.81333; 7.168437e-02; 99.98433;50.00000;20.00000;5.69465
 32.97900;10.82000; 7.355230e-02; 99.99217;50.00000;20.00000;5.69436
 33.05200;10.82667; 7.532631e-02; 99.97919;50.00000;20.00000;5.69408
 33.12500;10.83333; 7.692815e-02; 99.98562;50.00000;20.00000;5.69380
 33.20500;10.84000; 7.862455e-02; 99.97124;50.00000;20.00000;5.69349
 33.28300;10.84667; 8.038369e-02; 99.97907;50.00000;20.00000;5.69318
 33.35900;10.85333; 8.226826e-02; 99.96340;50.00000;20.00000;5.69289
 33.44200;10.86000; 8.401240e-02; 99.97393;50.00000;20.00000;5.69257
 33.52300;10.86667; 8.592901e-02; 99.95954;50.00000;20.00000;5.69225
