#EXPORTTYPE:                 ;DATA ALL
#FILE:                       ;PMMA_DE_6mm_50Kmin_06.ngb-ds3
#FORMAT:                     ;NETZSCH5
#FTYPE:                      ;ANSI
#IDENTITY:                   ;PMMA_DE_6mm_50Kmin
#DECIMAL:                    ;POINT
#SEPARATOR:                  ;SEMICOLON
#MTYPE:                      ;DSC
#INSTRUMENT:                 ;NETZSCH STA 449F3
#PROJECT:                    ;
#DATE/TIME:                  ;12.02.2025 6:05:04 (UTC+1)
#CORR. FILE:                 ;Correction for method PMMA_50Kmin_02
#TEMPCAL:                    ;06-01-2021 10:01
#SENSITIVITY:                ;06-01-2021 10:22
#LABORATORY:                 ;TUPO
#OPERATOR:                   ;
#REMARK:                     ;PMMA_DE_6mm_50Kmin
#SAMPLE:                     ;PMMA_DE_6mm_50Kmin
#SAMPLE MASS /mg:            ;8.5462
#MATERIAL:                   ;
#REFERENCE:                  ;-----
#REFERENCE MASS /mg:         ;0
#TYPE OF CRUCIBLE:           ;Al2O3 85 �l, open
#SAMPLE CRUCIBLE MASS /mg:   ;137.4632
#REFERENCE CRUCIBLE MASS /mg:;132.95
#DSC RANGE /�V:              ;5000
#TG RANGE /mg:               ;35000
#TAU-R:                      ;---
#CORR. CODE:                 ;020
#EXO:                        ;-1
#RANGE:                      ;30�C....700�C/0.0....50.0K/min
#SEGMENT:                    ;S1-3/3
#SEG. 1:                     ;30�C/00:10/30�C
#SEG. 2:                     ;30�C/50.0(K/min)/700�C
#SEG. 3:                     ;700�C/00:10/700�C

##Temp./�C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 30.00600; 0.00000;-8.761610e-04;100.00000;50.00000;20.00000;5.70587;1
 30.00600; 0.04000;-7.040579e-04;100.00000;50.00000;20.00000;5.70587;1
 30.01000; 0.08000;-7.353514e-04;100.00000;50.00000;20.00000;5.70585;1
 30.01000; 0.12000;-5.632482e-04;100.01568;50.00000;20.00000;5.70585;1
 30.01100; 0.16000;-6.101859e-04;100.01182;50.00000;20.00000;5.70585;1
 30.01100; 0.20000;-5.006651e-04;100.00000;50.00000;20.00000;5.70585;1
 30.01300; 0.24000;-2.190413e-04;100.00012;50.00000;20.00000;5.70584;1
 30.01400; 0.28000;-2.972708e-04;100.00012;50.00000;20.00000;5.70584;1
 30.01200; 0.32000;-2.033956e-04;100.00796;50.00000;20.00000;5.70584;1
 30.01500; 0.36000; 3.129165e-05;100.00012;50.00000;20.00000;5.70583;1
 30.01800; 0.40000; 1.251669e-04;100.00012;50.00000;20.00000;5.70582;1
 30.02000; 0.44000; 7.822940e-05;100.00012;50.00000;20.00000;5.70581;1
 30.01700; 0.48000; 2.346880e-04;100.00000;50.00000;20.00000;5.70582;1
 30.01700; 0.52000; 2.816256e-04; 99.99614;50.00000;20.00000;5.70582;1
 30.02200; 0.56000; 3.442101e-04;100.00000;50.00000;20.00000;5.70581;1
 30.02300; 0.60000; 4.693777e-04;100.00000;50.00000;20.00000;5.70580;1
 30.02400; 0.64000; 3.911484e-04; 99.98432;50.00000;20.00000;5.70580;1
 30.02600; 0.68000; 5.789002e-04; 99.98830;50.00000;20.00000;5.70579;1
 30.02900; 0.72000; 5.945474e-04;100.00000;50.00000;20.00000;5.70578;1
 30.02700; 0.76000; 7.040682e-04; 99.98432;50.00000;20.00000;5.70579;1
 30.02500; 0.80000; 7.510054e-04; 99.99228;50.00000;20.00000;5.70579;1
 30.02700; 0.84000; 9.544038e-04; 99.98444;50.00000;20.00000;5.70579;1
 30.03000; 0.88000; 8.918218e-04; 99.98830;50.00000;20.00000;5.70577;1
 30.03000; 0.92000; 9.387598e-04; 99.99614;50.00000;20.00000;5.70577;1
 30.02800; 0.96000; 1.048280e-03; 99.98303;50.00000;20.00000;5.70578;1
 30.03100; 1.00000; 1.001344e-03; 99.97917;50.00000;20.00000;5.70577;1
 30.03300; 1.04000; 1.095222e-03; 99.98303;50.00000;20.00000;5.70576;1
 30.03300; 1.08000; 1.095222e-03; 99.97519;50.00000;20.00000;5.70576;1
 30.03200; 1.12000; 1.220389e-03; 99.96735;50.00000;20.00000;5.70577;1
 30.03400; 1.16000; 1.189099e-03; 99.98303;50.00000;20.00000;5.70576;1
 30.03500; 1.20000; 1.142161e-03; 99.99087;50.00000;20.00000;5.70576;1
 30.03500; 1.24000; 1.157807e-03; 99.97519;50.00000;20.00000;5.70576;1
 30.03400; 1.28000; 1.173453e-03; 99.96735;50.00000;20.00000;5.70576;1
 30.03700; 1.32000; 1.282978e-03; 99.96735;50.00000;20.00000;5.70575;1
 30.03300; 1.36000; 1.329912e-03; 99.95951;50.00000;20.00000;5.70576;1
 30.03300; 1.40000; 1.439434e-03; 99.96735;50.00000;20.00000;5.70576;1
 30.03700; 1.44000; 1.502022e-03; 99.97917;50.00000;20.00000;5.70575;1
 30.03600; 1.48000; 1.517667e-03; 99.96735;50.00000;20.00000;5.70575;1
 30.03900; 1.52000; 1.408148e-03; 99.95167;50.00000;20.00000;5.70574;1
 30.03900; 1.56000; 1.439440e-03; 99.95167;50.00000;20.00000;5.70574;1
 30.03700; 1.60000; 1.595899e-03; 99.95167;50.00000;20.00000;5.70575;1
 30.03800; 1.64000; 1.408147e-03; 99.96735;50.00000;20.00000;5.70574;1
 30.03500; 1.68000; 1.455082e-03; 99.96735;50.00000;20.00000;5.70576;1
 30.03900; 1.72000; 1.470732e-03; 99.96735;50.00000;20.00000;5.70574;1
 30.03900; 1.76000; 1.548963e-03; 99.95167;50.00000;20.00000;5.70574;1
 30.03800; 1.80000; 1.392501e-03; 99.95554;50.00000;20.00000;5.70574;1
 30.03600; 1.84000; 1.439437e-03; 99.95167;50.00000;20.00000;5.70575;1
