#EXPORTTYPE:                 ;DATA ALL
#FILE:                       ;PMMA_DE_6mm_5Kmin_02.ngb-ds3
#FORMAT:                     ;NETZSCH5
#FTYPE:                      ;ANSI
#IDENTITY:                   ;PMMA_DE_6mm_5Kmin
#DECIMAL:                    ;POINT
#SEPARATOR:                  ;SEMICOLON
#MTYPE:                      ;DSC
#INSTRUMENT:                 ;NETZSCH STA 449F3
#PROJECT:                    ;BESKID_PMMA_DE_6mm
#DATE/TIME:                  ;05.02.2025 2:17:18 (UTC+1)
#CORR. FILE:                 ;Correction for method PMMA_5Kmin
#TEMPCAL:                    ;14-07-2023 15:00
#SENSITIVITY:                ;14-07-2023 14:38
#LABORATORY:                 ;TUPO
#OPERATOR:                   ;
#REMARK:                     ;PMMA_DE_6mm_5Kmin
#SAMPLE:                     ;PMMA_DE_6mm_5Kmin
#SAMPLE MASS /mg:            ;8.6835
#MATERIAL:                   ;black PMMA
#REFERENCE:                  ;-----
#REFERENCE MASS /mg:         ;0
#TYPE OF CRUCIBLE:           ;Al2O3 85 �l, open
#SAMPLE CRUCIBLE MASS /mg:   ;139.6422
#REFERENCE CRUCIBLE MASS /mg:;132.95
#DSC RANGE /�V:              ;5000
#TG RANGE /mg:               ;35000
#TAU-R:                      ;---
#CORR. CODE:                 ;020
#EXO:                        ;-1
#RANGE:                      ;30�C....700�C/0.0....5.0K/min
#SEGMENT:                    ;S1-3/3
#SEG. 1:                     ;30�C/00:10/30�C
#SEG. 2:                     ;30�C/5.0(K/min)/700�C
#SEG. 3:                     ;700�C/00:10/700�C

##Temp./�C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 30.35200;  0.00000; 1.317422e-03;100.00000;50.00000;20.00000;5.66881;1
 30.35400;  0.04000; 1.162431e-03;100.00000;50.00000;20.00000;5.66880;1
 30.35000;  0.08000; 1.007440e-03; 99.98837;50.00000;20.00000;5.66881;1
 30.34600;  0.12000; 9.764406e-04;100.00000;50.00000;20.00000;5.66881;1
 30.34400;  0.16000; 7.594532e-04; 99.98445;50.00000;20.00000;5.66882;1
 30.33900;  0.20000; 7.749513e-04; 99.96902;50.00000;20.00000;5.66882;1
 30.33800;  0.24000; 6.354600e-04; 99.96131;50.00000;20.00000;5.66883;1
 30.33500;  0.28000; 5.424655e-04; 99.95359;50.00000;20.00000;5.66883;1
 30.33200;  0.32000; 5.734630e-04; 99.95359;50.00000;20.00000;5.66883;1
 30.32700;  0.36000; 5.734623e-04; 99.94196;50.00000;20.00000;5.66884;1
 30.32200;  0.40000; 5.269647e-04; 99.95359;50.00000;20.00000;5.66885;1
 30.31800;  0.44000; 2.479833e-04; 99.93816;50.00000;20.00000;5.66885;1
 30.31400;  0.48000; 3.564755e-04; 99.93816;50.00000;20.00000;5.66886;1
 30.30700;  0.52000; 2.789804e-04; 99.92273;50.00000;20.00000;5.66887;1
 30.30400;  0.56000; 2.479822e-04; 99.92273;50.00000;20.00000;5.66887;1
 30.29900;  0.60000; 1.394898e-04; 99.90730;50.00000;20.00000;5.66888;1
 30.29400;  0.64000; 9.299308e-05; 99.90338;50.00000;20.00000;5.66889;1
 30.29000;  0.68000; 1.394895e-04; 99.89186;50.00000;20.00000;5.66889;1
 30.29000;  0.72000; 1.394895e-04; 99.89186;50.00000;20.00000;5.66889;1
